input,target
grammar: So I think we can not live if old people could not find siences and tecnologies and they did not developped. ,So I think we would not be alive if our ancestors did not develop sciences and technologies. 
grammar: So I think we can not live if old people could not find siences and tecnologies and they did not developped. ,So I think we could not live if older people did not develop science and technologies. 
grammar: So I think we can not live if old people could not find siences and tecnologies and they did not developped. ,So I think we can not live if old people could not find science and technologies and they did not develop. 
grammar: So I think we can not live if old people could not find siences and tecnologies and they did not developped. ,So I think we can not live if old people can not find the science and technology that has not been developed. 
grammar: For not use car. ,Not for use with a car. 
grammar: For not use car. ,Do not use in the car. 
grammar: For not use car. ,Car not for use. 
grammar: For not use car. ,Can not use the car. 
grammar: Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung. ,"Here was no promise of morning, except that we looked up through the trees, and we saw how low the forest had swung. "
grammar: Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung. ,"Here, there was no promise of morning, except that we looked up through the trees and saw how low the forest had swung. "
grammar: Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung. ,Here was no promise of morning except that we looked up through the trees and we saw how low the forest had swung. 
grammar: Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung. ,There was no promise of morning except when we looked up through the trees and saw how low the forest had swung. 
grammar: Thus even today sex is considered as the least important topic in many parts of India. ,"Thus, even today, sex is considered as the least important topic in may parts of India. "
grammar: Thus even today sex is considered as the least important topic in many parts of India. ,"Thus, even today, sex is considered the least important topic in many parts of India. "
grammar: Thus even today sex is considered as the least important topic in many parts of India. ,"Thus, even today, sex is considered the least important topic in many parts of India. "
grammar: Thus even today sex is considered as the least important topic in many parts of India. ,"Thus, even today sex is considered as the least important topic in many parts of India. "
"grammar: image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. ","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed, because you don't know more than to put air a in car. "
"grammar: image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. ","Imagine that you work in a factory and do just one thing, like put tires on cars! if they fire you, they will destroy you because you don't know how to do anything but put tires on cars. "
"grammar: image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. ","image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. "
"grammar: image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy, becouse u dont know more than pot taire in car. ","Imagine yourself working in a factory. You are to do just one thing, such as put a tire on a car. If you are fired, it will destroy you because you do not know how to do more than put tires on cars. "
"grammar: They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales. ","They draw in the consumers, like me, to purchase a great product with amazing ingredients, but actually, they just make up these words to increase their sales. "
"grammar: They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales. ","They draw in consumers like me, who purchase this great product with all these amazing ingredients, but sometimes they just make things up to increase their sales. "
"grammar: They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales. ","They draw the consumers, like me, to purchase this great product with all these amazing features, but actually sometimes they just make something up just to increase their sales. "
"grammar: They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales. ","They draw the consumers, like me, to purchase this great product with all these amazing ingredients and all that, but actually they just sometimes make something up just to increase their sales. "
"grammar: I want to talk about nocive or bad products like alcohol, hair spray and cigarrets. ","I want to talk about nocive or bad products like alcohol, hair spray and cigarettes. "
"grammar: I want to talk about nocive or bad products like alcohol, hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
"grammar: I want to talk about nocive or bad products like alcohol, hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
"grammar: I want to talk about nocive or bad products like alcohol, hair spray and cigarrets. ","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes. "
grammar: For example they can play football whenever they want but the olders can not. ,"For example, they can play football whenever they want, but the elders cannot. "
grammar: For example they can play football whenever they want but the olders can not. ,"For example, they can play football whenever they want but the others can not. "
grammar: For example they can play football whenever they want but the olders can not. ,"For example, they can play football whenever they want but the seniors can't. "
grammar: For example they can play football whenever they want but the olders can not. ,For example they can play football whenever they want but the older ones cannot. 
"grammar: It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. ","It features Diana Krall wearing a Rolex watch and the text suggests that if the reader wants to belong to a restricted club -- not necessarily of Rolex watch-wearers -- but of highly talented, sophisticated, competent artists, then he or she should also have a Rolex. "
"grammar: It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. ","Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to a restricted club, comprised not just of Rolex watch wearers but highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
"grammar: It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. ","It figures Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
"grammar: It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. ","It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club, not necessarily of Rolex watch wearers, but of highly talented, sophisticated and competent artists, he or she should also have a Rolex. "
grammar: There are several reason. ,There are several reasons. 
grammar: There are several reason. ,There are several reasons. 
grammar: There are several reason. ,There are several reasons. 
grammar: There are several reason. ,There are several reasons. 
"grammar: Also the work of the media, television, magazines, and every stuff made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. ","Also, the work of the media, television, magazines and other things made for publicity impacts the emotions of many people around the world, encouraging them to buy everything they can. "
"grammar: Also the work of the media, television, magazines, and every stuff made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. ","Also, the work of the media, television, magazines, and everything involved in publicity affects the emotions of people around the world, encouraging them to buy anything they can. "
"grammar: Also the work of the media, television, magazines, and every stuff made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. ","Also, the work of media, television, magazines, and other stuff made for publicity, affects the emotions of many people around the world, encouraging them to buy and buy anything they can. "
"grammar: Also the work of the media, television, magazines, and every stuff made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. ","Also, the work of the media, television, magazines, and everything made for publicity affects the emotions of many people around the world, encouraging them to buy and buy anything they can. "
"grammar: Since most urban areas are occupied with cars, they are all facing up with an irresistible problem of air and noise pollution. ","Since most urban areas are occupied with cars, they are facing a problem of air and noise pollution. "
"grammar: Since most urban areas are occupied with cars, they are all facing up with an irresistible problem of air and noise pollution. ","Since most urban areas are congested with cars, they all face the terrible problem of air and noise pollution. "
"grammar: Since most urban areas are occupied with cars, they are all facing up with an irresistible problem of air and noise pollution. ","Since most urban areas are occupied with cars, they are all face upped with an irresistible problem of air and noise pollution. "
"grammar: Since most urban areas are occupied with cars, they are all facing up with an irresistible problem of air and noise pollution. ","Since most urban areas are teeming with cars, they are all facing the unavoidable problem of air and noise pollution. "
"grammar: It is true that consumers preffer to buy a product that has a lower price, but when international companies that has already the certification begins to send its market, people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much. ","While it is true that consumers prefer to buy products with lower prices, when international companies that are already certified begin to send their products to market, people will prefer to consume those goods because the difference in price will probably not affect them too much. "
"grammar: It is true that consumers preffer to buy a product that has a lower price, but when international companies that has already the certification begins to send its market, people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to send it to market, people will prefer to buy theirs because the difference between prices is probably not going to affect them too much. "
"grammar: It is true that consumers preffer to buy a product that has a lower price, but when international companies that has already the certification begins to send its market, people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to send it to market, people will prefer to consume theirs because the difference between prices is probably not going to affect them too much. "
"grammar: It is true that consumers preffer to buy a product that has a lower price, but when international companies that has already the certification begins to send its market, people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much. ","It is true that consumers prefer to buy a product that has a lower price, but when international companies that already have the certification begin to enter the market, people will prefer to consume theirs because the difference between prices is probably not going to affect them too much. "
grammar: 4:they have a big chance to prepare for their future life ,"Fourth, they have a great chance to prepare for their future life. "
grammar: 4:they have a big chance to prepare for their future life ,Point four is that they have a big chance to prepare for their future life. 
grammar: 4:they have a big chance to prepare for their future life ,They have a great chance to prepare for their future life. 
grammar: 4:they have a big chance to prepare for their future life ,They have a good chance to prepare for their future life. 
grammar: One person if don't have good health that means so many things they could lost. ,"If a person doesn't have good health, so many things could be lost. "
grammar: One person if don't have good health that means so many things they could lost. ,"If one person does not have good health, that means they could lose so many things. "
grammar: One person if don't have good health that means so many things they could lost. ,"If one person doesn't have good health, that means they could lose so many things. "
grammar: One person if don't have good health that means so many things they could lost. ,"If one person doesn't have good health, that means so many things they could lose. "
grammar: Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. ,Many studies over the last 50 years have shown that people who have fluoride in their drinking water have considerably fewer cavities than people who are not drinking water with fluoride. 
grammar: Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. ,Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. 
grammar: Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. ,Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably less likely to have cavities than people who have non-fluoridated water. 
grammar: Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water. ,Many studies over the last 50 years have shown that people who have fluoride in their drinking water have considerably less cavities than people who have been drinking non-fluoridated water. 
