accuracy: 0.0676, best_acc: 0.0676, loss: 4.1846
accuracy: 0.1342, best_acc: 0.1342, loss: 3.7104
accuracy: 0.1969, best_acc: 0.1969, loss: 3.3662
accuracy: 0.2539, best_acc: 0.2539, loss: 3.0698
accuracy: 0.3001, best_acc: 0.3001, loss: 2.8330
accuracy: 0.3346, best_acc: 0.3346, loss: 2.6643
accuracy: 0.3911, best_acc: 0.3911, loss: 2.4045
accuracy: 0.4254, best_acc: 0.4254, loss: 2.2645
accuracy: 0.4657, best_acc: 0.4657, loss: 2.0913
accuracy: 0.4926, best_acc: 0.4926, loss: 1.9716
accuracy: 0.5207, best_acc: 0.5207, loss: 1.8517
accuracy: 0.5432, best_acc: 0.5432, loss: 1.7707
accuracy: 0.5685, best_acc: 0.5685, loss: 1.6616
accuracy: 0.5847, best_acc: 0.5847, loss: 1.5928
accuracy: 0.5939, best_acc: 0.5939, loss: 1.5488
accuracy: 0.5958, best_acc: 0.5958, loss: 1.5241
accuracy: 0.6067, best_acc: 0.6067, loss: 1.5110
accuracy: 0.6227, best_acc: 0.6227, loss: 1.4436
accuracy: 0.6233, best_acc: 0.6233, loss: 1.4375
accuracy: 0.6352, best_acc: 0.6352, loss: 1.4073
